date,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,temperature_sampling,temperature_incubation_avg,T0_TF,dilution,nutrient_treatment,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,dilution_factor,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag
20220221,2/21/2022 7:00,2/21/2022 10:05,2/22/2022 10:15,3.9,3.2,T0,dil,NA,NA,a,>0&<200,180,6,1,0.249,2.052,158,102,0.19,0.22,NaN,NaN,NaN,NaN,NaN,NaN
20220221,2/21/2022 7:00,2/21/2022 10:05,2/22/2022 10:15,3.9,3.2,T0,dil,NA,NA,b,>0&<200,180,6,1,0.249,2.052,173,109,0.19,0.22,NaN,NaN,NaN,NaN,NaN,NaN
20220221,2/21/2022 7:00,2/21/2022 10:05,2/22/2022 10:15,3.9,3.2,T0,dil,NA,NA,c,>0&<200,180,6,1,0.249,2.052,161,109,0.19,0.22,NaN,NaN,NaN,NaN,NaN,NaN
20220221,2/21/2022 7:00,2/21/2022 10:05,2/22/2022 10:15,3.9,3.2,T0,dil,NA,NA,a,>10&<200,180,6,1,0.249,2.052,122,63.3,0.19,0.22,NaN,NaN,NaN,NaN,NaN,NaN
20220221,2/21/2022 7:00,2/21/2022 10:05,2/22/2022 10:15,3.9,3.2,T0,dil,NA,NA,b,>10&<200,180,6,1,0.249,2.052,125,69.3,0.19,0.22,NaN,NaN,NaN,NaN,NaN,NaN
20220221,2/21/2022 7:00,2/21/2022 10:05,2/22/2022 10:15,3.9,3.2,T0,dil,NA,NA,c,>10&<200,180,6,1,0.249,2.052,125,66.7,0.19,0.22,NaN,NaN,NaN,NaN,NaN,NaN
20220221,2/21/2022 7:00,2/21/2022 10:05,2/22/2022 10:15,3.9,3.2,T0,wsw,NA,NA,a,>0&<200,180,6,1,0.249,2.052,503,351,0.19,0.22,NaN,NaN,NaN,NaN,NaN,NaN
20220221,2/21/2022 7:00,2/21/2022 10:05,2/22/2022 10:15,3.9,3.2,T0,wsw,NA,NA,b,>0&<200,180,6,1,0.249,2.052,454,277,0.19,0.22,NaN,NaN,NaN,NaN,NaN,NaN
20220221,2/21/2022 7:00,2/21/2022 10:05,2/22/2022 10:15,3.9,3.2,T0,wsw,NA,NA,c,>0&<200,180,6,1,0.249,2.052,511,355,0.19,0.22,NaN,NaN,NaN,NaN,NaN,NaN
20220221,2/21/2022 7:00,2/21/2022 10:05,2/22/2022 10:15,3.9,3.2,T0,wsw,NA,NA,a,>10&<200,180,6,1,0.249,2.052,375,195,0.19,0.22,NaN,NaN,NaN,NaN,NaN,NaN
